,회사명,상장번호
619,신라에스지,025870
620,신라젠,215600
621,신성델타테크,065350
622,신신제약,002800
623,신영스팩5호,323280
624,신영스팩6호,344050
625,신원종합개발,017000
626,신일제약,012790
627,신진에스엠,138070
628,신테카바이오,226330
629,신한제6호스팩,333050
630,신한제7호스팩,366330
631,신한제8호스팩,393360
632,신화인터텍,056700
633,신화콘텍,187270
634,신흥에스이씨,243840
635,실리콘투,257720
636,심텍,222800
637,심텍홀딩스,036710
638,싸이맥스,160980
639,싸이버원,356890
640,싸이토젠,217330
641,쌍용정보통신,010280
642,썸에이지,208640
643,쎄노텍,222420
644,쎄니트,037760
645,쎄트렉아이,099320
646,쎌바이오텍,049960
647,쏠리드,050890
648,씨씨에스,066790
649,씨아이에스,222080
650,씨앤씨인터내셔널,352480
651,씨앤지하이테크,264660
652,씨앤투스성진,352700
653,씨에스베어링,297090
654,씨엔알리서치,359090
655,씨엔플러스,115530
656,씨엠에스에듀,225330
657,씨유메디칼,115480
658,씨유테크,376290
659,씨이랩,189330
660,씨젠,096530
661,씨케이에이치,900120
662,씨큐브,101240
663,씨티씨바이오,060590
664,씨티케이,260930
665,아가방컴퍼니,013990
666,아나패스,123860
667,아난티,025980
668,아래스,050320
669,아리온,058220
670,아모그린텍,125210
671,아모센스,357580
672,아모텍,052710
673,아미노로직스,074430
674,아미코젠,092040
675,아바코,083930
676,아바텍,149950
677,아비코전자,036010
678,아세아텍,050860
679,아셈스,136410
680,아스타,246720
681,아스트,067390
682,아스플로,159010
683,아시아경제,127710
684,아시아종묘,154030
685,아우딘퓨쳐스,227610
686,아이디스,143160
687,아이디스홀딩스,054800
688,아이디피,332370
689,아이비김영,339950
690,아이센스,099190
691,아이스크림에듀,289010
692,아이쓰리시스템,214430
693,아이씨디,040910
694,아이씨케이,068940
695,아이앤씨,052860
696,아이에스이커머스,069920
697,아이에이,038880
698,아이엘사이언스,307180
699,아이엠,101390
700,아이오케이,078860
701,아이원스,114810
702,아이윈,090150
703,아이즈비전,031310
704,아이진,185490
705,아이컴포넌트,059100
706,아이퀘스트,262840
707,아이큐어,175250
708,아이크래프트,052460
709,아이텍,119830
710,아이톡시,052770
711,아이티센,124500
712,아이티아이즈,372800
713,아이티엠반도체,084850
714,아이패밀리에스씨,114840
715,아주IB투자,027360
716,아즈텍WB,032080
717,아진산업,013310
718,아진엑스텍,059120
719,아톤,158430
720,아프리카TV,067160
721,안국약품,001540
722,안랩,053800
723,안트로젠,065660
724,알로이스,297570
725,알리코제약,260660
726,알비더블유,361570
727,알서포트,131370
728,알에스오토메이션,140670
729,알에프세미,096610
730,알에프텍,061040
731,알엔투테크놀로지,148250
732,알체라,347860
733,알테오젠,196170
734,알톤스포츠,123750
735,알티캐스트,085810
736,알파홀딩스,117670
737,압타머사이언스,291650
738,압타바이오,293780
739,애니젠,196300
740,애니플러스,310200
741,애드바이오텍,179530
742,애머릿지,900100
743,액션스퀘어,205500
744,액토즈소프트,052790
745,액트로,290740
746,앤디포스,238090
747,앤씨앤,092600
748,앱코,129890
749,앱클론,174900
750,야스,255440
751,얍엑스,060230
752,양지사,030960
753,어보브반도체,102120
754,얼라인드,238120
755,에너토크,019990
756,에디슨EV,136510
757,에브리봇,270660
758,에스넷,038680
759,에스디생명공학,217480
760,에스디시스템,121890
761,에스맥,097780
762,에스씨디,042110
